Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location
A manager’s job is to transform his glaring deficiency into a strength by finding the best person to fill it and trusting him to do the job.,Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,B01J53IE1O,,yellow,,location,332
"A manager’s job is to take what skills they have, the ones that got them promoted, and figure out how to make them scale. They do this by building a team that accentuates their strengths and, more importantly, reinforces where they are weak.",Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,B01J53IE1O,,yellow,,location,328
"As such, an origin story acts as a bridge between your concept story and your usage story—bridging the gap between the concept of a product or service and the actual usage of it. It’s where and when potential customers not only see what they can do with a product, but also how they can take an action with it.",The User's Journey: Storymapping Products That People Love,"Donna Lichaw, Eva Lotta-Lamm",B01D95U8UO,,yellow,,location,823
"Apple solved a problem that people didn’t know they had. As such, the 2007 keynote, as well as the device itself, not only had to tell the world what their problem was, but also show what the problem was and highlight how the solution could look and function.",The User's Journey: Storymapping Products That People Love,"Donna Lichaw, Eva Lotta-Lamm",B01D95U8UO,,yellow,,location,545
"In Badass: Making Users Awesome, Kathy Sierra argues that creating successful products is not about what features you build—it’s about how badass you make your user on the other end feel. It’s not about what your product can do, but instead about what your users can do if they use your product.",The User's Journey: Storymapping Products That People Love,"Donna Lichaw, Eva Lotta-Lamm",B01D95U8UO,,yellow,,location,441
"Some of the things that your team should agree upon before starting will include the following: The initial limits for WIP and any policies that can be in place in order to change those limits or break them temporarily. The process for prioritizing or selecting the features that needs to be done. The policies for the way you will classify your services. This could be things like fixed delivery date, expedite, or standard. Determine if you need to provide estimates. And when the team has to choose the work they will do, how will they make this selection. How often reviews should be done to ensure the system is still working.",Kanban: Workflow Visualized: An Expert's Guide,Gary Metcalfe,B07MM6GDVG,,yellow,,location,210
"A common problem with measurements is that they can change from being the means to control the success of a project to an end in itself. In Seeing like a state, James C. Scott warns about the conflict between two levels of metrics: the ones that provide understanding and control to people outside the process being measured, and the ones that are important for the people inside, affected by the process.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,356
"In How to Measure Anything, Douglas Hubbard warns about a common psychological tendency to track what is easy to measure instead of what can inform good decisions. Hubbard says that information is valuable if it reduces uncertainty about decisions, and that the “value of measuring a variable is often inversely proportional to the attention it gets”.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,349
"Based on a seven year long research of companies across the European Union, John McManus and Trevor Wood-Harper list the following as the top five key reasons why IT projects fail: Business reasons Business strategy superseded Business processes change (poor alignment) Poor requirements management Business benefits not clearly communicated or overstated",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,307
"By visually grouping together different deliverables that could contribute to the same impact, maps allow us to spot over-complicated solutions and prevent over-engineering. They facilitate thinking about alternatives, helping delivery teams come up with simpler, cheaper and faster alternative deliverables that achieve the desired effect. Because of this, impact maps make it is easy to argue that more complex solutions should be discarded or at least postponed until simpler suggestions are proven wrong.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,290
"To use impact maps for roadmap management, you need: agreement that your aim is to achieve a business goal, not deliver pre-set scope frequent, iterative releases to measure progress agreement on metrics that express stakeholder expectations for the central business goal",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,280
"Once a deliverable is shipped, we can measure the actual changes in actors' behaviour and the impact on the overall objective. We can then re-evaluate our strategy and decide whether to continue working on the same part of the map or move on to something else.",Impact Mapping: Making a big impact with software products and projects,Gojko Adzic,B009KWDKVA,,yellow,,location,278
